seq_name,primary_matches,potential_primaries,control_matches,potential_controls,rate_ratio,fisher_p
A6.LV.2001.01LV_N0808.AY291028,3.0,27.0,5.0,31.0,0.69,0.824018
A6.LV.2001.01LV_N0775.AY291011,3.0,27.0,5.0,31.0,0.69,0.824018
A6.LV.2001.01LV_N0730.AY290975,3.0,27.0,5.0,30.0,0.67,0.837066
01_AE.SE.1999.99SE_17711.AY165218,17.0,202.0,18.0,157.0,0.73,0.873753
B.SE.1999.99SE_16065.AY165204,7.0,206.0,10.0,169.0,0.57,0.921422
B.SE.1998.98SE_15935.AY165202,7.0,215.0,13.0,161.0,0.40,0.988888
A1.SE.-.SE7253.U76165,2.0,22.0,4.0,24.0,0.55,0.885801
C.BW.-.BKG06_gcons1.HQ423960,10.0,105.0,14.0,100.0,0.68,0.887709
A1.UG.-.PP105A_B0114GCONB16.HQ423874,9.0,111.0,15.0,96.0,0.52,0.971614
A1.UG.-.PP103A_B0248_Econ_b16_13.JF294888,2.0,34.0,10.0,46.0,0.27,0.991825
C.ZA.-.PP118A_A0091_G4.JF294792,4.0,27.0,7.0,40.0,0.85,0.730658
A1.UG.-.PP103A_B0248_Econ_b16_16.JF294579,2.0,34.0,10.0,42.0,0.25,0.994952
C.ZA.-.PP118A_A0091_C9.JF294535,5.0,37.0,10.0,46.0,0.62,0.896384
A1.UG.-.PP103A_B0248_Econ_b16_31.JF294363,2.0,34.0,10.0,43.0,0.25,0.994261
A1.UG.-.PP103A_B0248_Econ_b16_23.JF294127,2.0,34.0,10.0,43.0,0.25,0.994261
A1.UG.-.PP103A_B0248_Econ_b16_5.JF294098,2.0,35.0,10.0,45.0,0.26,0.993626
A1.UG.-.PP103A_B0248_Econ_b16_28.JF293861,2.0,33.0,10.0,42.0,0.25,0.994169
C.ZM.-.PP16A_A0759_econB4.JF293821,4.0,34.0,10.0,44.0,0.52,0.941776
A1.KE.-.SC13A_A0953_econB18s1.JF293814,1.0,31.0,12.0,50.0,0.13,0.999055
C.ZM.-.PP8B_B0547_ecxBr2s2.JF293740,3.0,36.0,10.0,45.0,0.38,0.980012
C.ZA.-.PP57A_B0865_econB7.JF293729,4.0,35.0,10.0,44.0,0.50,0.948018
A1.UG.-.PP103A_B0248_Econ_b16_10.JF293724,2.0,34.0,7.0,42.0,0.35,0.968702
A1.UG.-.PP103A_B0248_Econ_b16_40.JF293722,2.0,24.0,8.0,41.0,0.43,0.946768
C.BW.-.PP36A_A0516_Econ_b6_8.JF293648,5.0,37.0,8.0,39.0,0.66,0.867704
A1.KE.-.PP63A_A0600_ecx20B10_doublepeaks.JF293632,4.0,33.0,10.0,48.0,0.58,0.908455
C.TZ.-.A0524_A0524_econB20s1.JF293589,5.0,36.0,8.0,46.0,0.80,0.767076
C.ZM.-.B0539_B0539_Econ_Bkg20.JF293532,6.0,36.0,12.0,45.0,0.62,0.911839
C.ZA.-.PP118A_A0091_F8.JF293525,6.0,41.0,11.0,47.0,0.63,0.905854
B.IT.1997.child_B306_month_46_clone_2.EF657909,1.0,16.0,1.0,15.0,0.94,0.774194
B.GL.2003.GRL101.AM285275,8.0,157.0,7.0,118.0,0.86,0.71783
B.GL.2002.GRL75.AM285267,9.0,158.0,10.0,120.0,0.68,0.864729
B.GL.2000.GRL62.AM285258,8.0,159.0,5.0,117.0,1.18,0.502975
B.GL.1999.GRL11.AM285224,9.0,160.0,5.0,119.0,1.34,0.402055
B.GL.1999.GRL9.AM285223,9.0,159.0,7.0,120.0,0.97,0.629294
B.GL.2000.GRL58.AM285163,2.0,48.0,2.0,44.0,0.92,0.723901
B.GL.2000.GRL55.AM285160,1.0,48.0,4.0,49.0,0.26,0.970411
B.LV.2001.01LV_N0778.AY290957,3.0,50.0,2.0,48.0,1.44,0.519533
A6.LV.2001.01LV_N0165.AY290889,5.0,49.0,10.0,47.0,0.48,0.963033
A6.LV.2001.01LV_N0733.AY290882,6.0,47.0,10.0,49.0,0.63,0.900016
A6.LV.2001.01LV_N0400.AY290868,5.0,49.0,9.0,48.0,0.54,0.932275
C.SE.2000.00SE_18700.AY165281,17.0,200.0,21.0,156.0,0.63,0.952775
D.SE.1999.99SE_18070.AY165221,18.0,212.0,19.0,162.0,0.72,0.88726
B.SE.1999.99SE_17441.AY165217,8.0,168.0,7.0,127.0,0.86,0.713528
B.SE.1998.98SE_15783.AY165201,11.0,210.0,12.0,169.0,0.74,0.83434
B.SE.1998.98SE_15492.AY165198,2.0,203.0,7.0,173.0,0.24,0.990057
C.SE.2000.00SE_20200.AY165187,21.0,200.0,17.0,160.0,0.99,0.585294
G.SE.1993.SE6165P_6165P.L40761,7.0,82.0,6.0,51.0,0.73,0.819239
B.SE.1987.5043PO-control.L39024,3.0,75.0,3.0,53.0,0.71,0.806259
B.SE.1987.5032PO.L39040,3.0,74.0,1.0,51.0,2.07,0.459857
B.LV.2003.03LV_MSM049_1996_B.EU702616,5.0,50.0,4.0,47.0,1.18,0.539689
B.LV.2000.00LV_MSM034_1993_B.EU702602,2.0,48.0,4.0,49.0,0.51,0.893223
B.LV.2002.02LV_MSM033_1993_B.EU702601,5.0,51.0,3.0,46.0,1.50,0.416972
B.LV.2004.04LV_MSM029_2003_B.EU702597,3.0,48.0,3.0,48.0,1.00,0.661346
A6.LV.2002.02LV_IDU013_1998_A1.EU702565,5.0,49.0,10.0,48.0,0.49,0.959142
A6.LV.2003.03LV_HET057_2003_A1.EU702542,7.0,49.0,10.0,48.0,0.69,0.867686
A6.LV.2004.04LV_HET050_2003_A1.EU702535,5.0,49.0,8.0,49.0,0.62,0.883558
G.LV.2002.02LV_HET014_2002_G.EU702501,8.0,49.0,6.0,47.0,1.28,0.419764
A6.LV.2005.05LV_IDU_S2142_2005_p17_A1.FJ429546,8.0,50.0,9.0,47.0,0.84,0.749975
A6.LV.2005.05LV_S2068_2005_p17_A1.FJ429508,6.0,48.0,10.0,48.0,0.60,0.915166
A6.LV.2005.05LV_IDU_S2027_2005_p17_A1.FJ429486,7.0,49.0,9.0,48.0,0.76,0.806461
B.LV.2005.05LV_IDU_S2009_2005_v3_B.FJ429395,2.0,25.0,3.0,28.0,0.75,0.787379
B.SE.1995.P8a_19950222.GU204942,15.0,291.0,19.0,280.0,0.76,0.841383
B.SE.1994.P2b_19940427.GU204930,19.0,288.0,15.0,280.0,1.23,0.328322
C.ZA.-.A0099_gconB20s1.HQ423982,8.0,57.0,6.0,44.0,1.03,0.595058
C.KE.-.SC15A_B0350gconB19.HQ423816,8.0,100.0,13.0,97.0,0.60,0.928293
C.ZA.-.BKG011gconB27.HQ423807,7.0,63.0,8.0,60.0,0.83,0.742541
D.KE.-.PP108A_B0647gconB21.HQ423751,6.0,106.0,11.0,103.0,0.53,0.943888
C.BW.-.PP106A_B0356_Envcon_b16_7.JF294984,4.0,29.0,7.0,37.0,0.73,0.811432
C.ZA.-.PP118A_A0091_G3.JF294949,5.0,32.0,7.0,40.0,0.89,0.699169
C.ZA.-.PP118A_A0091_C4.JF294680,6.0,42.0,11.0,47.0,0.61,0.914465
C.ZA.-.PP1A_10000008_esm107.JF293972,3.0,33.0,12.0,38.0,0.29,0.996509
A1.KE.-.PP133B_B0309_ENV_23.JF293913,2.0,37.0,11.0,53.0,0.26,0.993482
C.ZA.-.PP118A_A0091_E9.JF293664,7.0,43.0,11.0,48.0,0.71,0.854853
B.SE.2002.SE_P76.24680.EU010346,1.0,23.0,2.0,29.0,0.63,0.834661
B.SE.2001.SE_P61.22950.EU010331,1.0,28.0,1.0,26.0,0.93,0.772886
A.SE.2001.SE_P57.22867.EU010267,4.0,25.0,6.0,27.0,0.72,0.820854
A.SE.2001.SE_P57.22661.EU010266,4.0,25.0,7.0,28.0,0.64,0.874445
A.SE.2000.SE_P35.21525.EU010265,3.0,25.0,5.0,27.0,0.65,0.849544
B.GL.2003.GRL99.AM285273,11.0,156.0,7.0,114.0,1.15,0.484919
B.GL.2002.GRL76.AM285268,10.0,162.0,7.0,114.0,1.01,0.600475
B.GL.2000.GRL58.AM285255,10.0,159.0,7.0,118.0,1.06,0.556111
B.GL.2000.GRL55.AM285252,8.0,161.0,7.0,119.0,0.84,0.728989
B.GL.1999.GRL20.AM285230,10.0,160.0,6.0,119.0,1.24,0.437733
B.GL.1999.GRL4.AM285218,10.0,159.0,6.0,119.0,1.25,0.432634
B.GL.1999.GRL2.AM285216,5.0,160.0,8.0,117.0,0.46,0.957589
B.GL.2003.GRL98.AM285180,3.0,46.0,2.0,40.0,1.30,0.566771
B.GL.1999.GRL45.AM285155,2.0,42.0,4.0,43.0,0.51,0.89362
B.GL.1999.GRL3.AM285124,2.0,45.0,2.0,42.0,0.93,0.717628
B.GL.2003.GRL98.AM285088,5.0,30.0,3.0,26.0,1.44,0.43807
B.GL.2002.GRL75.AM285084,3.0,27.0,5.0,27.0,0.60,0.874963
B.GL.2002.GRL74.AM285083,3.0,25.0,3.0,26.0,1.04,0.646867
B.GL.2001.GRL73.AM285082,2.0,27.0,3.0,26.0,0.64,0.836418
B.GL.2000.GRL62.AM285075,3.0,28.0,4.0,26.0,0.70,0.819486
B.GL.2002.GRL53.AM285067,6.0,26.0,3.0,26.0,2.00,0.232702
B.GL.2002.GRL44.AM285063,4.0,28.0,3.0,26.0,1.24,0.542942
B.GL.1999.GRL14.AM285043,3.0,28.0,3.0,26.0,0.93,0.700967
B.GL.1999.GRL12.AM285041,3.0,28.0,4.0,26.0,0.70,0.819486
B.GL.1999.GRL2.AM285032,2.0,26.0,3.0,27.0,0.69,0.812861
01_AE.SE.-.M2_X4_ci.AY619917,3.0,28.0,8.0,25.0,0.33,0.988609
D.SE.-.C4_X4_pi.AY619816,2.0,23.0,6.0,28.0,0.41,0.952351
D.SE.-.M1_X4_ci.AY619762,3.0,21.0,7.0,28.0,0.57,0.901328
01_AE.VN.2002.02VN113.AY283418,2.0,28.0,7.0,24.0,0.24,0.994047
A6.LV.2001.01LV_N0796.AY291019,3.0,27.0,5.0,31.0,0.69,0.824018
B.LV.2001.01LV_N0777.AY291013,0.0,27.0,3.0,29.0,0.00,1
A6.LV.2001.01LV_N0765.AY291002,3.0,25.0,5.0,31.0,0.74,0.792669
A6.LV.2001.01LV_N0729.AY290974,3.0,27.0,6.0,31.0,0.57,0.891431
A6.LV.2001.01LV_N0724.AY290971,3.0,27.0,5.0,31.0,0.69,0.824018
B.SE.2001.01SE_22179.AY165278,8.0,206.0,10.0,173.0,0.67,0.865772
B.SE.2000.00SE_19739.AY165236,9.0,205.0,11.0,169.0,0.67,0.872106
C.SE.1999.99SE_17807.AY165219,21.0,198.0,15.0,143.0,1.01,0.560107
B.SE.1998.98SE_14635.AY165190,11.0,205.0,12.0,171.0,0.76,0.811156
C.SE.-.SE7410.U76128,2.0,21.0,3.0,15.0,0.48,0.915998
A.SE.-.SE7888.U76119,3.0,14.0,6.0,22.0,0.79,0.782314
F1.RU.-.RU26.U69659,2.0,20.0,2.0,16.0,0.80,0.778966
J.SE.1993.7887.L41176,4.0,19.0,3.0,17.0,1.19,0.566471
AD.SE.1993.SE7496E.L40751,2.0,14.0,4.0,22.0,0.79,0.772415
AD.SE.1993.SE6968E.L40750,2.0,14.0,4.0,22.0,0.79,0.772415
B.SE.1987.B304-control.L39058,1.0,34.0,0.0,41.0,inf,0.453333
B.SE.1987.1423-control.L39039,2.0,75.0,2.0,52.0,0.69,0.813421
B.SE.1987.B137-control.L39052,0.0,34.0,0.0,42.0,undef,1
B.SE.1987.5016PO-control.L39022,4.0,73.0,1.0,51.0,2.79,0.313259
B.SE.1987.27-control.L39033,6.0,74.0,1.0,53.0,4.30,0.130017
B.SE.1987.5017PO.L39038,3.0,74.0,1.0,51.0,2.07,0.459857
B.IT.1991.A_196_4537_7.L08339,0.0,16.0,1.0,17.0,0.00,1
B.IT.1991.A_204_J4500.L08303,0.0,9.0,0.0,9.0,undef,1
B.IT.-.A_130_J2865.L08298,0.0,9.0,0.0,8.0,undef,1
B.IT.1991.A_196_4537.L08293,0.0,8.0,0.0,10.0,undef,1
B.IT.-.A_145_3344.L08290,0.0,10.0,1.0,8.0,0.00,1
B.LV.2002.02LV_MSM043_1997_V3.EU702741,2.0,26.0,4.0,28.0,0.54,0.886475
B.LV.2001.01LV_MSM037_1995_V3.EU702736,2.0,24.0,5.0,29.0,0.48,0.915914
B.LV.2002.02LV_MSM035_1993_V3.EU702734,1.0,26.0,2.0,27.0,0.52,0.875139
B.LV.2002.02LV_MSM033_1993_V3.EU702732,1.0,28.0,3.0,25.0,0.30,0.9568
A6.LV.2003.03LV_MSM023_2003_V3.EU702722,3.0,25.0,6.0,28.0,0.56,0.900754
A6.LV.2002.02LV_IDU019_1998_V3.EU702702,3.0,24.0,5.0,29.0,0.72,0.804974
B.LV.2004.04LV_HET059_2003_V3.EU702673,0.0,27.0,4.0,27.0,0.00,1
A6.LV.2004.04LV_HET053_2003_V3.EU702667,2.0,25.0,6.0,28.0,0.37,0.963096
A6.LV.2003.03LV_HET045_2003_V3.EU702661,2.0,25.0,5.0,29.0,0.46,0.924132
A6.LV.2003.03LV_HET044_2003_V3.EU702660,2.0,25.0,6.0,29.0,0.39,0.958373
A6.LV.2002.02LV_HET024_2002_V3.EU702640,3.0,25.0,7.0,29.0,0.50,0.934893
A6.LV.2005.05LV_HET_S2159_2005_v3_A1.FJ429475,4.0,25.0,7.0,28.0,0.64,0.874445
A6.LV.2005.05LV_IDU_S2110_2005_v3_A1.FJ429451,3.0,25.0,8.0,29.0,0.43,0.96302
A6.LV.2005.05LV_S2106_2005_v3_A1.FJ429449,2.0,23.0,8.0,30.0,0.33,0.981583
A6.LV.2005.05LV_S2102_2005_v3_A1.FJ429446,3.0,24.0,5.0,29.0,0.72,0.804974
A6.LV.2005.05LV_IDU_HET_S2085_2005_v3_A1.FJ429434,3.0,26.0,5.0,28.0,0.65,0.849746
A6.LV.2005.05LV_HET_S2067_2005_v3_A1.FJ429426,4.0,26.0,6.0,27.0,0.69,0.837906
A6.LV.2005.05LV_HET_S2052_2005_v3_A1.FJ429421,3.0,25.0,7.0,28.0,0.48,0.942652
A6.LV.2005.05LV_IDU_S2027_2005_v3_A1.FJ429405,4.0,25.0,6.0,28.0,0.75,0.80299
01_AE.FI.2007.FIN0738.GU223066,3.0,27.0,7.0,27.0,0.43,0.961797
01_AE.FI.2005.FIN052099.GU223060,3.0,27.0,8.0,27.0,0.38,0.980298
01_AE.FI.2004.FIN04534.GU223059,2.0,27.0,8.0,26.0,0.24,0.995401
01_AE.FI.2003.FIN031164.GU223046,2.0,26.0,8.0,27.0,0.26,0.993318
01_AE.FI.2002.FIN021437.GU223038,3.0,27.0,7.0,27.0,0.43,0.961797
01_AE.SE.2007.P158_36502.GU222985,4.0,28.0,7.0,26.0,0.53,0.93256
01_AE.SE.2007.P127_35764.GU222954,4.0,28.0,7.0,26.0,0.53,0.93256
B.SE.2006.P107_35752.GU222934,1.0,24.0,3.0,29.0,0.40,0.91889
B.SE.2005.P97_35732.GU222924,0.0,26.0,2.0,27.0,0.00,1
A2D.KE.-.BKG03_gcons1.HQ423971,10.0,103.0,5.0,97.0,1.88,0.170466
A1D.KE.-.PP81A_A0726_gconB11s1.HQ423965,7.0,114.0,12.0,101.0,0.52,0.957744
A1D.KE.-.SC14A_A0679_gconB18s2.HQ423957,15.0,113.0,12.0,95.0,1.05,0.529494
A1.UG.-.PP112A_B0063gconB21.HQ423765,10.0,106.0,11.0,97.0,0.83,0.750591
D.UG.-.PP111A_B0691gconB21.HQ423750,12.0,108.0,7.0,102.0,1.62,0.203224
A1.UG.-.PP34A_A0512gconb6.HQ423679,5.0,41.0,8.0,37.0,0.56,0.922483
D.UG.-.PP33A_A0480gconb6.HQ423676,5.0,36.0,5.0,42.0,1.17,0.528329
C.BW.-.PP36A_A0516_Econ_b6_9.JF294765,5.0,37.0,10.0,41.0,0.55,0.935177
A1.UG.-.PP34B_B0845_econB6original.JF294724,2.0,32.0,11.0,46.0,0.26,0.993891
A1.UG.-.PP103A_B0248_Econ_b16_8.JF294611,2.0,35.0,10.0,46.0,0.26,0.992848
C.ZA.-.A0340_A0340_econB20s1.JF294556,5.0,35.0,10.0,46.0,0.66,0.874429
C.ZM.-.PP9A_A0168_ecx51B4_doublepeaks.JF294547,5.0,37.0,10.0,44.0,0.59,0.912886
A1.KE.-.PP133B_B0309_ENV_7.JF294546,2.0,38.0,11.0,53.0,0.25,0.994274
C.ZA.-.PP118A_A0091_A1.JF294451,4.0,33.0,9.0,46.0,0.62,0.883792
A1.KE.-.PP117A_A0061_econB22.JF294305,5.0,35.0,5.0,44.0,1.26,0.477214
C.ZA.-.PP56A_A1000_ECX8_B7.JF294263,4.0,37.0,12.0,42.0,0.38,0.988997
A1.KE.-.PP43A_B0249_econB8.JF294240,5.0,36.0,9.0,45.0,0.69,0.845714
D.KE.-.PP62A_A0937_ECX1_B10.JF294146,7.0,39.0,7.0,42.0,1.08,0.555088
A1.UG.-.PP103A_B0248_Econ_b16_21.JF294137,2.0,35.0,10.0,46.0,0.26,0.992848
A1.UG.-.PP103A_B0248_Econ_b16_33.JF294108,2.0,34.0,10.0,43.0,0.25,0.994261
C.BW.-.PP106A_B0356_Envcon_b16_9.JF294104,3.0,28.0,7.0,36.0,0.55,0.905405
C.ZM.-.PP25A_A0413_econBr1s1.JF294045,4.0,37.0,11.0,48.0,0.47,0.961703
A1.UG.-.PP103A_B0248_Econ_b16_36.JF294002,2.0,34.0,10.0,43.0,0.25,0.994261
A1.KE.-.PP82A_A0191_econB11s1.JF293960,1.0,36.0,7.0,47.0,0.19,0.992028
A1.UG.-.SC5A_A0235_econB17.JF293734,2.0,33.0,8.0,47.0,0.36,0.969544
A1.UG.-.PP103A_B0248_Econ_b16_18.JF293542,3.0,35.0,10.0,45.0,0.39,0.977409
A1.KE.-.PP80A_A0211_econB14.JF293538,2.0,31.0,9.0,50.0,0.36,0.970654
01_AE.VN.-.HN68.FJ009362,3.0,21.0,6.0,21.0,0.50,0.934993
01_AE.VN.-.HN46.FJ009360,2.0,22.0,7.0,20.0,0.26,0.993408
01_AE.VN.2006.06_HP4.FJ009345,1.0,20.0,8.0,22.0,0.14,0.998884
01_AE.VN.2006.06_HP8.FJ009341,5.0,21.0,7.0,21.0,0.71,0.847118
B.GL.2004.GRL102.AM285276,13.0,158.0,13.0,121.0,0.77,0.822508
B.GL.1999.GRL12.AM285225,8.0,159.0,4.0,117.0,1.47,0.368596
B.GL.2003.GRL99.AM285181,3.0,49.0,2.0,46.0,1.41,0.530234
B.GL.1999.GRL27.AM285144,2.0,49.0,2.0,46.0,0.94,0.715096
B.LV.2001.01LV_N0777.AY290956,3.0,49.0,2.0,46.0,1.41,0.530234
A6.LV.2001.01LV_K220.AY290951,6.0,50.0,9.0,48.0,0.64,0.886767
A6.LV.2001.01LV_N0753.AY290898,5.0,49.0,10.0,48.0,0.49,0.959142
A6.LV.2001.01LV_N0730.AY290878,6.0,49.0,10.0,49.0,0.60,0.91473
C.SE.2001.01SE_21374.AY165257,20.0,209.0,27.0,161.0,0.57,0.9865
B.SE.2000.00SE_20127.AY165246,5.0,206.0,10.0,164.0,0.40,0.979684
B.SE.2000.00SE_19415.AY165189,7.0,215.0,10.0,163.0,0.53,0.943274
A.BD.2001.BD_01P2gag.AF470703,7.0,46.0,7.0,41.0,0.89,0.70138
B.SE.1989.p8_822_1989.U68518,2.0,49.0,2.0,46.0,0.94,0.715096
B.SE.1993.p11_9939_1993.U68508,2.0,19.0,4.0,18.0,0.47,0.92199
B.SE.1986.p3_105_1986.U68499,2.0,20.0,4.0,18.0,0.45,0.931204
G.SE.1993.6168P.L40763,7.0,84.0,7.0,51.0,0.61,0.899668
B.IT.1991.B196-4757.L08283,0.0,22.0,2.0,20.0,0.00,1
B.IT.-.B136-3613.L08279,0.0,22.0,3.0,19.0,0.00,1
B.LV.2000.00LV_MSM046_1997_B.EU702614,5.0,49.0,3.0,48.0,1.63,0.36901
B.LV.2002.02LV_MSM035_1993_B.EU702603,4.0,49.0,2.0,48.0,1.96,0.348634
B.LV.2002.02LV_MSM032_1990_B.EU702600,3.0,50.0,3.0,47.0,0.94,0.690407
B.LV.2003.03LV_MSM027_2003_B.EU702596,4.0,48.0,4.0,48.0,1.00,0.642764
B.LV.1999.99LV_MSM012_1999_B.EU702583,5.0,49.0,3.0,48.0,1.63,0.36901
A6.LV.2000.00LV_IDU017_1998_A1.EU702569,5.0,48.0,10.0,49.0,0.51,0.950918
A6.LV.2002.02LV_IDU003_1998.EU702556,5.0,49.0,10.0,48.0,0.49,0.959142
B.LV.2004.04LV_HET059_2003_B.EU702544,4.0,49.0,4.0,48.0,0.98,0.654277
A6.LV.2003.03LV_HET049_2003_A1.EU702534,7.0,49.0,8.0,47.0,0.84,0.741889
A6.LV.2003.03LV_HET044_2003_A1.EU702530,5.0,50.0,12.0,47.0,0.39,0.98939
A6.LV.2002.02LV_HET019_2002_A1.EU702506,5.0,49.0,10.0,49.0,0.50,0.95503
A6.LV.2002.02LV_HET017_2002_A1.EU702504,5.0,49.0,9.0,49.0,0.56,0.926441
A6.LV.2002.02LV_HET015_2002_A1.EU702502,5.0,49.0,12.0,49.0,0.42,0.984666
A6.LV.2005.05LV_S2132_2005_p17_A1.FJ429542,7.0,48.0,7.0,46.0,0.96,0.646456
A6.LV.2005.05LV_IDU_S2110_2005_p17_A1.FJ429529,7.0,49.0,9.0,48.0,0.76,0.806461
A6.LV.2005.05LV_S2102_2005_p17_A1.FJ429525,5.0,48.0,8.0,47.0,0.61,0.891969
A6.LV.2005.05LV_S2055_2005_p17_A1.FJ429503,5.0,49.0,8.0,45.0,0.57,0.9137
A6.LV.2005.05LV_S2044_2005_p17_A1.FJ429498,7.0,49.0,9.0,49.0,0.78,0.793486
A6.LV.2005.05LV_S2028_2005_p17_A1.FJ429487,6.0,48.0,10.0,49.0,0.61,0.907669
A6.LV.2005.05LV_S2025_2005_p17_A1.FJ429485,5.0,50.0,10.0,48.0,0.48,0.962615
A6.LV.2005.05LV_S2019_2005_p17_A1.FJ429480,7.0,50.0,10.0,48.0,0.67,0.877071
C.ZM.-.PP7A_A0064_gconBr1s1_notsogood.HQ424005,8.0,100.0,12.0,96.0,0.64,0.899385
A1.KE.-.PP132A_A0705_gconB25s1.HQ423955,10.0,112.0,14.0,99.0,0.63,0.92038
A1.UG.-.PP110B_A0335gconB21.HQ423866,13.0,112.0,17.0,95.0,0.65,0.930237
A1.UG.-.SC5A_A0235gconB17.HQ423780,12.0,100.0,16.0,91.0,0.68,0.902242
C.BW.-.PP106A_B0356_Envcon_b16_13.JF294690,3.0,29.0,8.0,39.0,0.50,0.930759
C.BW.-.PP106A_B0356_Envcon_b16_6.JF294498,4.0,29.0,7.0,38.0,0.75,0.79784
C.BW.-.PP106A_B0356_Envcon_b16_20.JF294238,4.0,29.0,7.0,38.0,0.75,0.79784
D.UG.-.PP121A_B0050_esm114B23.JF293973,6.0,26.0,4.0,42.0,2.42,0.119699
C.BW.-.PP106A_B0356_Envcon_b16_2.JF293816,2.0,27.0,8.0,39.0,0.36,0.969867
B.SE.2003.SE_P85.27779.EU010353,1.0,24.0,6.0,28.0,0.19,0.99115
B.SE.2002.SE_P77.24681.EU010347,1.0,28.0,1.0,26.0,0.93,0.772886
B.SE.2002.SE_P73.24676.EU010342,1.0,25.0,2.0,29.0,0.58,0.852685
B.SE.2002.SE_P69.24410.EU010338,2.0,25.0,6.0,28.0,0.37,0.963096
B.SE.2002.SE_P66.23922.EU010335,2.0,26.0,3.0,28.0,0.72,0.800592
B.SE.2001.SE_P60.22948.EU010330,4.0,26.0,4.0,28.0,1.08,0.604156
B.SE.2001.SE_P56.22481.EU010327,1.0,25.0,3.0,28.0,0.37,0.930078
B.SE.2001.SE_P52.22240.EU010323,1.0,25.0,1.0,29.0,1.16,0.716282
B.SE.2001.SE_P50.22238.EU010321,2.0,26.0,2.0,27.0,1.04,0.680355
B.SE.1997.SE_P21.12307.EU010290,2.0,26.0,2.0,24.0,0.92,0.725358
B.SE.1996.SE_P19.11158.EU010288,3.0,27.0,0.0,25.0,inf,0.132353
B.SE.1996.SE_P15.10637.EU010286,2.0,24.0,2.0,27.0,1.12,0.64886
01_AE.SE.2002.SE_P83.26367.EU010271,2.0,27.0,9.0,27.0,0.22,0.997484
B.GL.1999.GRL14.AM285226,9.0,158.0,8.0,122.0,0.87,0.71108
B.GL.2001.GRL69.AM285080,3.0,27.0,3.0,26.0,0.96,0.684036
B.GL.1999.GRL45.AM285064,3.0,28.0,4.0,26.0,0.70,0.819486
B.GL.1999.GRL43.AM285062,3.0,25.0,3.0,26.0,1.04,0.646867
B.GL.1999.GRL39.AM285058,4.0,29.0,4.0,24.0,0.83,0.750962
B.GL.1999.GRL28.AM285054,3.0,25.0,3.0,26.0,1.04,0.646867
B.GL.1999.GRL17.AM285045,4.0,28.0,4.0,26.0,0.93,0.69004
D.SE.-.M2_X4_ci.AY619764,3.0,21.0,8.0,31.0,0.55,0.91309
01_AE.VN.2002.02VN114.AY283427,2.0,19.0,8.0,26.0,0.34,0.979726
01_AE.VN.2002.02VN105.AY283424,2.0,26.0,9.0,26.0,0.22,0.997586
01_AE.VN.2002.02VN121.AY283420,3.0,28.0,7.0,25.0,0.38,0.975932
01_AE.VN.2002.02VN116.AY283419,3.0,27.0,9.0,26.0,0.32,0.992193
01_AE.SE.2001.01SE_22198.AY165279,21.0,212.0,21.0,162.0,0.76,0.862676
A1.SE.1999.99SE_16763.AY165206,22.0,214.0,19.0,166.0,0.90,0.703067
B.SE.1998.98SE_15418.AY165197,11.0,212.0,13.0,166.0,0.66,0.895439
B.SE.-.SE8613.U76158,0.0,17.0,4.0,27.0,0.00,1
A.SE.-.SE7535.U76154,3.0,29.0,5.0,24.0,0.50,0.926191
G.SE.1993.6168G.L40754,8.0,37.0,7.0,37.0,1.14,0.5
B.SE.1987.B137-control.L39042,4.0,76.0,1.0,52.0,2.74,0.321997
B.SE.1987.5008PO.L39035,3.0,74.0,1.0,54.0,2.19,0.435988
B.SE.1987.4982-control.L39045,1.0,73.0,1.0,51.0,0.70,0.832809
B.LV.2000.00LV_MSM044_1997_V3.EU702742,0.0,26.0,3.0,28.0,0.00,1
B.LV.2002.02LV_MSM032_1990_V3.EU702731,0.0,28.0,3.0,26.0,0.00,1
B.LV.2003.03LV_MSM028_2003_V3.EU702727,1.0,27.0,4.0,27.0,0.25,0.974473
B.LV.1998.98LV_MSM016_1998_V3.EU702716,1.0,28.0,4.0,26.0,0.23,0.9792
B.LV.1999.99LV_MSM013_1999_V3.EU702713,1.0,28.0,1.0,26.0,0.93,0.772886
A6.LV.1999.99LV_IDU012_1998_V3.EU702695,3.0,25.0,5.0,29.0,0.70,0.821409
A6.LV.2003.03LV_IDU011_1997_V3.EU702694,3.0,25.0,6.0,28.0,0.56,0.900754
B.LV.2002.02LV_HET069_1996_V3.EU702683,0.0,27.0,5.0,27.0,0.00,1
A6.LV.2003.03LV_HET057_2003_V3.EU702671,2.0,23.0,9.0,30.0,0.29,0.990217
A6.LV.2003.03LV_HET056_2003_V3.EU702670,4.0,25.0,5.0,28.0,0.90,0.705226
A6.LV.2003.03LV_HET047_2003_V3.EU702663,2.0,23.0,7.0,31.0,0.39,0.96209
A6.LV.2003.03LV_HET040_2003_V3.EU702656,4.0,24.0,7.0,29.0,0.69,0.843005
A6.LV.2003.03LV_HET038_2003_V3.EU702654,3.0,25.0,5.0,29.0,0.70,0.821409
A6.LV.2002.02LV_HET027_2002_V3.EU702643,3.0,24.0,6.0,29.0,0.60,0.87729
A6.LV.2002.02LV_HET012_2002_V3.EU702629,3.0,25.0,5.0,29.0,0.70,0.821409
